Date,Region,Latitude,Longitude,Property_Type,Price,Rental_Yield_Pct,Demand_Score,Supply_Score,Economic_Indicator
2023-07-27,Downtown,40.72843645743555,-73.98670378835344,Commercial,2680550.65,3.89,33,24,0.61
2023-08-15,Industrial,40.804525765389975,-74.18305197134848,Studio,247033.74,6.5,93,18,0.52
2023-06-10,Coastal,40.575662902152814,-73.97382606994405,Studio,415605.59,4.62,20,8,0.39
2024-04-04,Coastal,40.61644120319989,-73.91206414034693,Commercial,2243833.53,4.61,30,38,0.5
2024-08-31,Coastal,40.60826708175247,-73.98872752419969,Studio,356953.06,5.43,61,48,0.54
2024-05-26,Coastal,40.62959697550397,-73.94206451437458,Apartment,649247.08,5.1,46,6,0.49
2023-04-26,Tech Park,40.664806816358954,-74.04327202472427,Commercial,2412151.15,5.43,33,67,0.44
2024-07-23,Suburbs,40.76420218480728,-74.09815042256898,Commercial,1640905.66,5.58,32,47,0.61
2024-11-12,Downtown,40.713827217189596,-73.99700451923023,Commercial,3533677.3,3.38,24,13,0.45
2024-11-15,Industrial,40.81030095372612,-74.12294537018691,Studio,271941.15,7.69,16,14,0.47
2023-02-20,Industrial,40.81517938440986,-74.23121114144875,Apartment,480013.92,7.1,49,52,0.51
2024-03-19,Suburbs,40.74056136268421,-74.07822098806065,Apartment,520217.11,5.57,5,68,0.46
2023-09-26,Coastal,40.608760451948434,-73.92273129018096,Villa,1689287.49,3.99,17,63,0.52
2024-04-18,Coastal,40.584149585231344,-73.95229472882934,Apartment,641178.37,4.6,12,1,0.47
2024-08-23,Suburbs,40.74364306186979,-74.1063871015563,Studio,264475.35,5.6,61,64,0.56
2023-03-17,Tech Park,40.62346336467728,-74.01312568404497,Villa,1622435.21,5.58,57,29,0.48
2024-09-03,Suburbs,40.78744011360945,-74.0860181523628,Apartment,476995.35,6.66,10,69,0.45
2024-10-20,Industrial,40.797431757069205,-74.20931329542509,Villa,1265955.2,7.06,4,16,0.52
2024-10-25,Downtown,40.70079566245683,-73.99911863737196,Studio,491680.46,4.63,33,61,0.38
2024-07-30,Coastal,40.60892578696004,-73.92727515365762,Apartment,575578.35,5.3,29,13,0.45
2023-03-31,Tech Park,40.62465235396975,-74.0443801626453,Studio,337582.82,6.93,34,7,0.4
2023-03-16,Industrial,40.77914077212794,-74.17347056663363,Apartment,396396.85,6.65,36,10,0.67
2023-04-06,Coastal,40.56251062250281,-73.95041803187928,Studio,394575.77,5.09,12,55,0.61
2023-09-30,Tech Park,40.63274769756869,-74.03418812021151,Apartment,678328.73,6.01,86,13,0.48
2024-01-19,Industrial,40.81707949422135,-74.19215916220536,Studio,237011.39,8.34,69,99,0.61
2024-04-28,Industrial,40.82409845843557,-74.22393320938427,Apartment,424964.79,7.44,53,42,0.68
2023-09-10,Industrial,40.808091657902345,-74.18222031411446,Villa,1007622.17,7.17,42,9,0.45
2024-10-09,Suburbs,40.71836692148771,-74.09841981971512,Studio,277826.84,5.4,45,4,0.63
2023-04-01,Coastal,40.58091219742854,-73.94378184868805,Villa,1790155.57,4.85,92,58,0.5
2023-12-14,Industrial,40.825422764519615,-74.18458273797073,Villa,907271.21,5.28,25,56,0.24
2023-08-17,Suburbs,40.77285451766588,-74.09551815036379,Studio,270339.99,5.76,18,47,0.51
2024-05-27,Downtown,40.69876373114945,-74.02534222109202,Apartment,682707.28,4.61,87,57,0.49
2024-11-06,Industrial,40.78798790637501,-74.21974458415346,Villa,912848.3,6.05,28,92,0.44
2024-12-24,Tech Park,40.65683511951554,-74.01247658321567,Apartment,546095.12,6.3,46,35,0.57
2024-01-09,Suburbs,40.77953317250859,-74.12463461535019,Apartment,458531.32,5.69,11,85,0.5
2024-11-19,Suburbs,40.75681844397118,-74.10172827013663,Apartment,459840.74,5.23,69,95,0.53
2023-03-24,Tech Park,40.653865561236984,-74.0315169523383,Apartment,648771.39,5.56,1,51,0.44
2024-05-02,Tech Park,40.62262819768916,-74.03929016380049,Studio,359941.11,5.74,54,3,0.62
2024-02-05,Industrial,40.801350369628196,-74.17946840306897,Studio,243986.12,5.17,85,14,0.43
2023-11-02,Suburbs,40.75406227095893,-74.09900854541401,Villa,1168922.07,6.63,51,63,0.54
2023-04-16,Downtown,40.74717198748028,-74.01573428992086,Commercial,3400333.69,4.39,10,56,0.56
2023-03-10,Downtown,40.6787323512129,-74.00711095397793,Villa,1525831.04,4.48,43,75,0.54
2023-07-14,Industrial,40.78120240427345,-74.18505263936777,Commercial,1553489.23,6.31,51,19,0.55
2024-06-17,Tech Park,40.63939484763255,-74.06585745664525,Apartment,700975.59,7.43,12,90,0.38
2023-08-27,Suburbs,40.72679349949461,-74.08970822018618,Studio,302525.15,5.44,1,8,0.48
2023-10-30,Downtown,40.71636256851522,-74.005287290803,Commercial,2989440.92,4.02,28,87,0.68
2023-12-29,Suburbs,40.75504959576687,-74.08846886073889,Commercial,1856025.03,4.86,64,89,0.33
2023-09-30,Tech Park,40.655198429382715,-74.07582072141795,Commercial,2418063.83,5.47,25,17,0.47
2023-04-21,Suburbs,40.707786009577,-74.10015945282633,Studio,309958.49,6.81,8,40,0.6
2024-09-04,Downtown,40.67264863957275,-73.9846508765553,Villa,1840679.51,4.34,59,56,0.29
2024-12-10,Downtown,40.712370500752506,-74.01322845678854,Villa,1757071.19,3.74,75,62,0.45
2023-02-09,Downtown,40.713770432558896,-74.02261900232823,Apartment,779269.0,3.97,4,79,0.44
2024-12-15,Coastal,40.615107824516514,-73.93867319738962,Studio,422440.91,5.62,5,70,0.49
2023-08-13,Suburbs,40.73473481686915,-74.13609764201328,Studio,257617.28,5.33,90,14,0.56
2023-09-16,Coastal,40.566769598754625,-73.95395925937403,Apartment,680993.83,4.63,5,23,0.29
2024-09-04,Suburbs,40.73796062642207,-74.08479497810728,Apartment,473841.19,6.29,24,38,0.32
2023-11-30,Downtown,40.692147418619314,-73.99696968115963,Apartment,798285.2,4.07,76,99,0.51
2024-07-25,Coastal,40.60367023646176,-73.94293684753555,Studio,412592.83,5.25,14,60,0.47
2024-07-27,Tech Park,40.64361885957867,-74.0369320052417,Studio,313519.52,6.49,18,40,0.33
2024-07-28,Coastal,40.614158487339395,-73.90583098948268,Commercial,2116163.43,5.5,66,78,0.27
2024-03-23,Coastal,40.62864963834905,-73.9795717249156,Studio,434606.41,5.25,94,27,0.62
2023-10-16,Industrial,40.81940155555827,-74.18558453901719,Villa,1023235.69,6.36,5,74,0.6
2023-01-15,Industrial,40.7897996720229,-74.15485603437814,Apartment,362654.48,6.29,68,76,0.8
2023-10-19,Tech Park,40.66739211840211,-74.0228872428239,Villa,1328574.36,5.25,11,74,0.38
2024-09-14,Suburbs,40.73639476825612,-74.09638938316388,Studio,341376.43,6.48,37,72,0.56
2023-02-20,Suburbs,40.7379470438939,-74.0739630166368,Apartment,421766.15,5.23,36,54,0.45
2023-11-05,Coastal,40.619037660360576,-73.9838492925943,Apartment,749420.77,5.31,26,41,0.44
2023-03-16,Coastal,40.617044929780604,-73.99641474747956,Villa,1358766.1,4.35,34,91,0.35
2023-01-25,Industrial,40.79478529670216,-74.20381822982777,Commercial,1650075.86,7.73,22,26,0.43
2023-03-25,Industrial,40.80156817845012,-74.22969403143034,Apartment,389244.45,6.23,92,63,0.5
2024-03-10,Downtown,40.71596511961907,-74.02341729295293,Commercial,2516411.65,3.77,30,29,0.61
2024-02-28,Downtown,40.712144934595685,-74.01686849542267,Commercial,3416574.68,2.94,92,94,0.38
2024-10-04,Downtown,40.71687403596278,-74.01735438069551,Studio,440031.51,4.21,34,97,0.47
2024-03-18,Industrial,40.82444406692416,-74.24348647128174,Commercial,1516076.76,7.34,97,92,0.46
2023-01-07,Coastal,40.595415678968926,-73.95551619131204,Villa,1395025.12,4.17,2,1,0.68
2024-01-21,Tech Park,40.62516997538101,-74.06632610818109,Commercial,2026409.0,6.36,5,37,0.62
2024-05-20,Suburbs,40.70660244625918,-74.1073394639776,Villa,1131018.84,5.3,30,59,0.53
2024-06-04,Downtown,40.75836957456377,-74.06168008457604,Studio,414256.38,4.65,73,22,0.37
2023-02-03,Tech Park,40.65201634844508,-74.04608309489804,Apartment,541297.63,5.96,76,87,0.24
2024-03-30,Tech Park,40.682410668903316,-74.01859010729477,Villa,1417233.39,6.48,92,62,0.44
2023-01-29,Industrial,40.80052182100422,-74.19705584341261,Apartment,391098.34,6.84,36,59,0.62
2024-10-25,Coastal,40.59744608298779,-73.93889709422578,Villa,1552229.85,4.44,36,20,0.53
2024-04-26,Downtown,40.70718767967671,-73.95479830923462,Apartment,742795.51,3.86,73,40,0.52
2024-09-07,Downtown,40.74589956751473,-74.0200855826118,Villa,1656548.74,3.97,44,51,0.56
2023-01-17,Coastal,40.56859550560219,-73.93028554566354,Villa,1467263.53,5.11,12,62,0.69
2024-12-27,Coastal,40.616333970354276,-73.9376267608058,Apartment,704204.94,5.23,25,82,0.35
2023-10-15,Suburbs,40.74884190185325,-74.09710125170437,Villa,1038691.83,4.81,7,14,0.76
2024-05-12,Tech Park,40.6336147121289,-74.03768582501671,Commercial,2390506.76,6.41,94,39,0.64
2024-09-11,Downtown,40.65855019016304,-74.03148137969907,Studio,513631.82,4.41,43,40,0.49
2024-06-10,Suburbs,40.74477945493506,-74.0973003055836,Studio,309068.4,5.61,25,13,0.59
2023-06-19,Suburbs,40.755660644107905,-74.10436207796748,Villa,1187552.61,5.89,99,39,0.5
2023-09-29,Industrial,40.79951445440216,-74.21110447998258,Studio,223734.98,5.94,30,25,0.53
2023-05-22,Downtown,40.671095647128695,-74.01440373634192,Studio,437319.69,3.6,62,37,0.39
2024-08-07,Downtown,40.72200150020599,-74.01099462565651,Commercial,3465150.15,3.6,12,59,0.48
2024-08-06,Coastal,40.58348830313965,-73.95194199134806,Studio,392118.44,4.76,74,98,0.56
2023-09-16,Downtown,40.700337189471504,-74.01710954238321,Studio,427681.39,3.93,47,87,0.64
2023-04-30,Downtown,40.701385074125014,-73.9991276282093,Apartment,721758.55,4.94,14,98,0.59
2024-06-24,Coastal,40.59274929949802,-73.93832399247688,Apartment,645513.54,4.91,25,5,0.41
2023-06-25,Industrial,40.81949700569392,-74.2275863845603,Villa,889830.72,7.39,48,77,0.5
2023-12-15,Industrial,40.730383823424795,-74.21740446484287,Commercial,1521689.69,7.73,98,40,0.34
2024-07-24,Coastal,40.60925097105295,-73.95756585767074,Commercial,2742162.63,4.77,45,89,0.4
2024-02-26,Tech Park,40.67017041649557,-74.01936622397518,Studio,353983.75,6.09,53,30,0.66
2023-01-17,Industrial,40.806862181659035,-74.1961780186396,Studio,241114.48,7.53,88,35,0.36
2023-08-12,Coastal,40.604987673674216,-73.91845093440473,Villa,1748601.18,4.28,94,37,0.46
2024-02-05,Coastal,40.603881799857966,-73.94019160856595,Villa,1465810.28,4.65,82,50,0.5
2024-01-16,Tech Park,40.69040803927364,-74.06479748552927,Studio,355282.62,4.78,51,75,0.44
2023-06-06,Suburbs,40.78762314138881,-74.1245973875648,Commercial,1768006.74,6.12,27,67,0.63
2023-03-25,Downtown,40.72141680488668,-74.00113384671744,Villa,1738136.1,4.62,1,58,0.48
2024-06-07,Tech Park,40.65704110793028,-74.04292474442016,Villa,1398534.88,5.95,72,60,0.61
2024-08-13,Downtown,40.719654506927554,-73.99686493561693,Commercial,3137978.71,4.24,3,93,0.52
2024-06-04,Downtown,40.72698007515177,-74.03452251065339,Villa,1909109.72,3.77,86,2,0.45
2023-12-04,Coastal,40.63925645268091,-73.9577012052372,Villa,1749564.18,5.37,41,8,0.59
2023-03-27,Downtown,40.729720270893424,-74.00607205078181,Studio,397873.59,4.21,32,97,0.68
2024-08-11,Suburbs,40.77046282409374,-74.09816828522612,Studio,232594.96,4.89,38,90,0.6
2023-11-13,Suburbs,40.76246619613309,-74.09796471854024,Commercial,1750674.27,5.62,73,95,0.59
2024-11-20,Downtown,40.72676446627227,-73.99813029229156,Studio,423924.15,4.44,7,75,0.51
2023-05-07,Suburbs,40.769002909419974,-74.10201645980369,Apartment,517435.42,5.38,82,12,0.38
2024-09-22,Industrial,40.7793684750626,-74.21058596475093,Apartment,399025.82,8.5,82,70,0.41
2023-02-04,Downtown,40.727866515207545,-74.02286746309079,Apartment,748983.78,3.9,94,85,0.33
2024-05-30,Suburbs,40.740336270754014,-74.06852026473419,Studio,227831.21,6.6,98,66,0.63
2024-06-13,Suburbs,40.75878605515363,-74.12554440931845,Studio,228182.94,5.23,26,8,0.56
2024-07-06,Industrial,40.80647600255212,-74.20582979957987,Villa,940805.77,6.41,14,89,0.43
2023-03-07,Downtown,40.718310497549375,-73.99851439888846,Commercial,2973946.57,3.48,40,76,0.62
2024-01-30,Industrial,40.79906158842241,-74.19045918345554,Villa,758864.88,7.18,94,1,0.72
2023-10-11,Industrial,40.77480160067253,-74.21676774982237,Apartment,420826.58,5.85,76,37,0.62
2023-06-05,Downtown,40.720438709044636,-73.99739916705617,Commercial,2909007.46,4.15,61,20,0.49
2023-02-28,Tech Park,40.649255555269804,-74.05261831945539,Apartment,537902.71,6.11,12,20,0.41
2023-05-06,Tech Park,40.68943337500924,-74.05426270673334,Villa,1217597.11,6.3,43,50,0.54
2023-12-07,Tech Park,40.60824221930799,-74.06465368382516,Apartment,630325.63,5.57,5,86,0.55
2023-05-25,Suburbs,40.747943116737275,-74.1005358869327,Villa,1101718.7,6.08,76,91,0.52
2024-10-15,Downtown,40.721784568698396,-73.99363942578033,Apartment,760577.75,4.34,62,92,0.68
2024-11-18,Suburbs,40.74871723306814,-74.09342475179392,Apartment,465327.0,6.29,75,68,0.62
2024-08-16,Industrial,40.81388466820972,-74.179061597447,Apartment,422798.01,6.79,75,1,0.64
2024-12-11,Downtown,40.73498520404446,-74.03524071943004,Commercial,2734450.95,4.62,89,33,0.44
2024-09-13,Industrial,40.773538204131846,-74.19916621925736,Villa,937689.69,6.52,3,85,0.73
2023-02-12,Suburbs,40.717386532651695,-74.09658058056863,Studio,313858.32,5.68,43,21,0.58
2023-11-20,Downtown,40.71842382847939,-74.02973394235376,Apartment,864804.93,3.44,78,68,0.49
2023-06-05,Tech Park,40.63022817785698,-74.07207178634431,Commercial,2201057.26,6.1,30,18,0.53
2023-12-17,Suburbs,40.74867219191814,-74.10268536206715,Studio,265700.96,5.56,71,63,0.37
2023-02-05,Downtown,40.68094012532937,-73.9971905052408,Studio,512883.66,3.97,1,44,0.51
2023-01-26,Coastal,40.59141188917749,-73.89907903333192,Apartment,676848.67,4.47,42,72,0.55
2023-02-19,Downtown,40.727743304485195,-74.02001663357733,Studio,436727.26,4.5,74,89,0.52
2024-07-14,Downtown,40.69715964726185,-74.02884253086593,Commercial,2924904.39,3.97,21,81,0.61
2023-06-09,Tech Park,40.674491688752525,-74.01753206875402,Commercial,2266201.97,5.18,57,25,0.42
2023-10-07,Tech Park,40.68278233610888,-74.03047232093076,Studio,399745.77,6.23,42,32,0.62
2024-02-29,Tech Park,40.62798441434327,-74.06422597249521,Commercial,2408180.03,5.54,2,60,0.44
2023-03-08,Tech Park,40.66402746129678,-74.0373741743348,Villa,1215847.3,5.85,86,70,0.35
2023-04-26,Suburbs,40.78345144773675,-74.09161961981268,Studio,247725.85,5.59,69,77,0.63
2023-01-12,Suburbs,40.76388812637891,-74.10222452122697,Apartment,409324.16,4.22,23,92,0.45
2024-09-24,Coastal,40.60145993511947,-73.93439843640567,Villa,1921815.41,5.2,82,72,0.45
2024-10-15,Industrial,40.80723353170847,-74.18583782646623,Studio,262960.86,6.25,66,85,0.41
2023-06-29,Suburbs,40.75174372808413,-74.08583821756287,Villa,1312820.26,4.88,55,6,0.5
2023-08-27,Industrial,40.81676981548903,-74.20769683763895,Apartment,418558.89,7.06,35,30,0.49
2023-01-07,Suburbs,40.75534784628144,-74.09356604387608,Studio,255250.98,6.04,35,66,0.46
2023-09-10,Industrial,40.78912441133553,-74.18575457020988,Villa,971541.66,7.64,65,80,0.34
2023-01-25,Tech Park,40.65573834857344,-74.05231244229914,Apartment,563429.27,5.89,98,68,0.55
2024-10-19,Industrial,40.801079768368915,-74.1987105117038,Apartment,320981.34,7.2,93,43,0.42
2024-05-31,Suburbs,40.7306696594813,-74.09165619071234,Commercial,1698731.95,5.17,11,50,0.51
2023-05-29,Downtown,40.70605828057764,-74.03061551091533,Apartment,730474.46,3.72,7,80,0.59
2024-07-05,Industrial,40.83042344275529,-74.17303439868148,Apartment,370689.85,6.51,93,52,0.6
2024-06-02,Suburbs,40.75850658120953,-74.1273375739683,Commercial,1759542.23,6.16,86,5,0.47
2024-08-13,Suburbs,40.7453465618296,-74.12092955885248,Apartment,425419.0,5.72,39,5,0.4
2023-07-02,Industrial,40.79938122005689,-74.20020231822939,Apartment,488736.86,6.16,52,82,0.5
2024-02-26,Coastal,40.572561977141376,-73.98227122795754,Villa,1604442.82,5.1,64,17,0.55
2023-01-10,Suburbs,40.75333305657127,-74.13198272972893,Villa,1036073.91,6.69,34,8,0.44
2023-06-22,Coastal,40.56981156173187,-73.95551454504935,Commercial,2442871.84,4.96,72,87,0.46
2024-01-01,Coastal,40.6036936061173,-73.96604985466423,Studio,440653.64,5.6,7,28,0.43
2023-11-16,Coastal,40.62371408309326,-73.93562093378671,Villa,1654712.45,5.66,66,79,0.47
2024-01-13,Industrial,40.7949833396709,-74.18716625125691,Commercial,1795940.33,6.55,2,13,0.59
2023-10-15,Tech Park,40.650819735795515,-74.03341052141536,Studio,368278.36,5.46,73,25,0.59
2024-02-18,Suburbs,40.707409738517796,-74.08841114854265,Studio,273987.88,5.38,46,21,0.47
2023-02-08,Coastal,40.57575085442301,-73.92729029967275,Apartment,669651.69,4.17,21,13,0.54
2024-10-23,Industrial,40.83198244670299,-74.20293997564394,Commercial,1541685.24,7.21,13,82,0.33
2023-10-10,Suburbs,40.75799375903505,-74.11302713787583,Villa,1083291.72,4.68,88,44,0.53
2024-09-21,Tech Park,40.6840442988927,-74.03679978813766,Commercial,2744459.29,6.6,8,58,0.52
2023-04-14,Downtown,40.723582642063654,-73.99916741561262,Commercial,3386394.74,3.83,89,10,0.58
2023-01-13,Coastal,40.61167772588751,-73.96029283098437,Apartment,577835.48,4.93,90,58,0.5
2024-02-22,Industrial,40.78430203373835,-74.18703439132312,Apartment,342005.74,6.23,95,70,0.42
2023-06-03,Industrial,40.75811758744672,-74.21354951313995,Apartment,426869.89,6.72,45,20,0.46
2024-06-09,Downtown,40.70176283708215,-73.95483601428664,Commercial,3037934.71,3.72,55,4,0.5
2023-11-15,Suburbs,40.73666959037453,-74.10612706921542,Villa,1087084.14,5.75,76,30,0.42
2024-12-04,Suburbs,40.76895651605675,-74.08635931099911,Commercial,1594495.96,5.39,55,55,0.44
2023-04-28,Downtown,40.68657254549825,-73.97573100513516,Apartment,797310.88,4.18,20,47,0.39
2024-08-24,Coastal,40.617001879786336,-73.93248568275199,Studio,401847.43,4.31,10,50,0.55
2024-07-16,Tech Park,40.632893389712216,-74.04142375370758,Apartment,611838.03,5.65,64,37,0.37
2023-09-18,Industrial,40.79615777894557,-74.17219000437518,Studio,239339.64,8.24,1,24,0.59
2024-08-18,Industrial,40.81556218372252,-74.2054845671411,Studio,216016.49,6.78,24,30,0.5
2023-09-27,Industrial,40.78091876504507,-74.21907209226039,Studio,238403.32,7.17,95,89,0.45
2024-06-16,Industrial,40.79971960923485,-74.1789388513397,Studio,288799.33,7.75,70,15,0.43
2024-04-16,Suburbs,40.75702577618849,-74.06620213086747,Commercial,1753487.87,6.01,26,14,0.58
2024-01-06,Suburbs,40.724914211536614,-74.11114562248207,Apartment,402118.46,5.17,71,86,0.66
2023-12-20,Downtown,40.692483563620435,-74.00476640300305,Studio,436700.64,4.06,86,49,0.42
2024-05-28,Suburbs,40.751722877660924,-74.12532681011251,Villa,1073737.73,5.74,98,16,0.59
2023-12-10,Coastal,40.6123830852201,-73.90885009060577,Commercial,2963278.87,5.03,10,99,0.44
2023-08-02,Industrial,40.784016159866994,-74.16834425491756,Commercial,1643948.97,7.23,86,92,0.47
2023-01-26,Coastal,40.601721457299874,-73.93722433841104,Apartment,707402.14,4.96,97,42,0.4
2024-03-02,Industrial,40.799892052472764,-74.24408075150502,Commercial,1434007.46,6.05,12,74,0.47
2024-08-19,Industrial,40.807251416300524,-74.17263156091055,Studio,229264.27,7.9,48,82,0.55
2023-09-16,Industrial,40.78307286690018,-74.19239842583117,Commercial,1421020.91,6.77,8,32,0.46
2024-01-01,Industrial,40.788986168569394,-74.18111420715636,Villa,877503.33,7.8,1,63,0.39
2023-05-11,Tech Park,40.64917969157993,-74.04220226361055,Apartment,553657.81,5.69,99,61,0.37
2024-03-09,Industrial,40.80541949077692,-74.19391614160894,Villa,863371.91,7.8,11,66,0.48
2024-08-10,Tech Park,40.67611939834654,-74.03526484489117,Studio,339589.4,5.03,28,90,0.52
2023-02-10,Downtown,40.70149430447202,-74.01421417318205,Commercial,3484612.71,3.87,57,23,0.35
2023-10-16,Tech Park,40.674877058651724,-74.0414133795636,Studio,373767.89,5.71,99,40,0.53
2024-10-21,Industrial,40.78153734779084,-74.1899236316312,Studio,234617.88,6.58,58,25,0.44
2024-04-04,Tech Park,40.62575045950704,-74.03972184300682,Apartment,610774.91,6.43,77,79,0.57
2023-08-07,Suburbs,40.7671851445,-74.09307644508334,Commercial,1731720.61,4.87,46,38,0.44
2024-05-21,Coastal,40.573579870082696,-73.9238484237848,Studio,375286.15,4.98,14,26,0.47
2024-03-01,Downtown,40.72306211596352,-74.01119093355167,Commercial,3266598.83,3.79,19,47,0.35
2023-10-13,Tech Park,40.644756525942725,-74.06821407646129,Apartment,605511.88,5.99,89,14,0.47
2023-03-09,Coastal,40.61311220796506,-73.91944552760953,Studio,406704.21,5.45,86,41,0.62
2023-11-21,Industrial,40.80229421236328,-74.19859895673774,Studio,267885.08,7.24,33,73,0.62
2024-10-20,Tech Park,40.62759154680177,-74.0521987543074,Villa,1389746.2,5.79,21,51,0.64
2024-06-23,Coastal,40.594569510490174,-73.94849132722197,Studio,327523.33,4.87,86,66,0.26
2024-08-06,Suburbs,40.757064147890155,-74.1003957063043,Commercial,1963234.39,5.38,82,17,0.51
2024-03-24,Coastal,40.59060895641878,-73.95858604449035,Apartment,604992.64,4.89,40,14,0.29
2024-11-19,Coastal,40.57424105220964,-74.0026286376684,Apartment,725335.99,5.06,62,8,0.61
2024-01-17,Downtown,40.70124939812985,-74.01584702024279,Apartment,649282.17,3.69,41,17,0.48
2023-02-10,Tech Park,40.65207088277278,-74.09324438441836,Commercial,2856285.76,5.96,19,11,0.46
2024-08-06,Downtown,40.69974206455177,-73.97638863888916,Studio,418079.24,3.53,61,33,0.58
2023-06-23,Tech Park,40.66375726654374,-74.04160668954803,Commercial,2594568.88,6.32,49,47,0.46
2024-08-16,Industrial,40.811515595653326,-74.21664587766237,Apartment,311633.94,6.85,84,97,0.4
2023-04-15,Industrial,40.795502880363834,-74.21300005161648,Villa,1072912.81,5.79,10,14,0.57
2024-03-29,Downtown,40.71746432262527,-74.01202510470654,Commercial,2904796.32,4.08,3,16,0.67
2024-02-23,Suburbs,40.749335400187114,-74.10416233714544,Commercial,2282059.78,5.23,90,85,0.44
2023-10-04,Downtown,40.72516969025573,-73.98889079982635,Villa,2031718.39,3.88,45,73,0.61
2023-12-30,Tech Park,40.655247247606475,-74.02897611978028,Villa,1306226.89,4.71,44,79,0.46
2023-04-28,Coastal,40.604642570237175,-73.98671315265725,Studio,435678.59,5.29,34,56,0.26
2024-07-21,Industrial,40.77788590663028,-74.20429842060578,Apartment,361423.83,6.7,29,74,0.63
2024-01-30,Coastal,40.6279136762158,-73.92452719335697,Apartment,617612.59,5.61,56,76,0.51
2024-07-10,Downtown,40.71335902910489,-73.99763625843065,Studio,444857.04,3.94,64,91,0.47
2023-03-28,Suburbs,40.781972943410096,-74.10186868141834,Villa,1104730.1,6.15,29,77,0.54
2023-04-19,Coastal,40.597853957119916,-73.9410456614838,Studio,410629.36,3.98,37,49,0.37
2024-07-07,Tech Park,40.65246658148781,-74.05438312039426,Villa,1616791.81,5.53,85,46,0.44
2024-05-13,Industrial,40.81269815608227,-74.21017434442196,Apartment,357090.28,7.17,99,13,0.48
2023-04-14,Coastal,40.64668327160254,-73.93579335007523,Villa,1693396.95,5.98,37,85,0.61
2024-10-20,Industrial,40.80910122277878,-74.1847845450066,Commercial,1642541.81,8.24,12,21,0.53
2024-07-11,Tech Park,40.682580192066986,-74.0633097082938,Villa,1565736.4,6.23,52,96,0.5
2023-08-04,Suburbs,40.815092945863086,-74.12488916799676,Commercial,1843284.82,4.17,81,51,0.49
2023-12-31,Industrial,40.81910308233801,-74.18957755143242,Commercial,1703234.49,6.86,45,81,0.48
2024-05-08,Downtown,40.72467113444562,-74.06480777269329,Apartment,896779.77,3.9,43,67,0.42
2024-10-25,Tech Park,40.65814104574249,-74.02709221622905,Commercial,2272426.34,6.57,71,30,0.55
2023-01-01,Coastal,40.61450191573696,-73.9396764342577,Commercial,2709558.75,4.7,5,60,0.62
2024-06-18,Industrial,40.81416607694402,-74.21238472929959,Apartment,412524.75,6.33,4,30,0.6
2023-07-07,Coastal,40.584151601580004,-73.95615923059279,Apartment,651962.4,5.3,16,66,0.5
2023-11-18,Suburbs,40.73365822737863,-74.10272894926707,Villa,905273.94,6.04,31,34,0.62
2023-08-19,Coastal,40.616589496838635,-73.95387652277546,Apartment,661187.89,5.6,30,53,0.65
2023-03-15,Downtown,40.70322845110757,-73.99244112430095,Villa,1873095.34,4.09,20,32,0.63
